the_geom,Short_Name,School_ID,Network,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
POINT (-87.5571419710349 41.754365131246374),BRADWELL,609806,AUSL,7736 S BURNHAM AVE,60649,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.754365132,-87.557141971,1(773)535-6600,12,SOUTH SHORE,7,Gregory Mitchell
POINT (-87.70873128447809 41.75345719265228),HAMPTON,609807,Network 10,3434 W 77TH ST,60652,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7534571934,-87.7087312845,1(773)535-4030,10,ASHBURN,18,Lona Lane
POINT (-87.63363213619498 41.686659969507105),HALEY,609808,Network 13,11411 S EGGLESTON AVE,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6866599703,-87.6336321362,1(773)535-5340,13,ROSELAND,34,Carrie M. Austin
POINT (-87.69629419836866 41.9309660958041),BRENTANO,609809,Network 4,2723 N FAIRFIELD AVE,60647,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9309660966,-87.6962941984,1(773)534-4100,4,LOGAN SQUARE,32,Scott Waguespack
POINT (-87.79866892056614 41.94911438626606),BRIDGE,609810,Network 1,3800 N NEW ENGLAND AVE,60634,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9491143871,-87.7986689206,1(773)534-3718,1,DUNNING,38,Timothy M. Cullerton
POINT (-87.56208422999353 41.699726221063116),BRIGHT,609811,Network 13,10740 S CALHOUN AVE,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6997262218,-87.56208423,1(773)535-6215,13,SOUTH DEERING,10,Susie Sadlowski Garza
POINT (-87.67068239048238 41.88299678413438),BROWN W,609812,Network 6,54 N HERMITAGE AVE,60612,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.882996785,-87.6706823905,1(773)534-7250,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
POINT (-87.62174596836614 41.77162035907393),BROWNELL,609813,Network 12,6741 S MICHIGAN AVE,60637,District,ES,"PK, K, 1, 2, 3, 4, 5, 6",41.7716203599,-87.6217459684,1(773)535-3030,12,GREATER GRAND CROSSING,6,Roderick T. Sawyer
POINT (-87.57607485712315 41.76084747994678),BOUCHET,609815,Network 12,7355 S JEFFERY BLVD,60649,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7608474807,-87.5760748571,1(773)535-0501,12,SOUTH SHORE,7,Gregory Mitchell
POINT (-87.69655603218193 41.97575432973367),BUDLONG,609817,Network 2,2701 W FOSTER AVE,60625,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9757543306,-87.6965560322,1(773)534-2591,2,LINCOLN SQUARE,40,Patrick O'Connor
POINT (-87.78269957086374 41.91759813746918),BURBANK,609818,Network 3,2035 N MOBILE AVE,60639,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9175981383,-87.7826995709,1(773)534-3000,3,BELMONT CRAGIN,29,Chris Taliaferro
POINT (-87.6161405235956 41.79675956372592),BURKE,609819,Network 9,5356 S KING DR,60615,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7967595645,-87.6161405236,1(773)535-1325,9,WASHINGTON PARK,3,Patricia R. Dowell
POINT (-87.66985312412211 41.937937473581265),BURLEY,609820,ISP,1630 W BARRY AVE,60657,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9379374744,-87.6698531241,1(773)534-5475,4,LAKE VIEW,32,Scott Waguespack
POINT (-87.56713059136543 41.71440206175561),BURNHAM,609821,ISP,9928 S CRANDON AVE,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7144020625,-87.5671305914,1(773)535-6530,13,SOUTH DEERING,7,Gregory Mitchell
POINT (-87.71492701415002 41.84544987856497),CASTELLANOS,609826,Network 7,2524 S CENTRAL PARK AVE,60623,District,ES,"4, 5, 6, 7, 8",41.8454498794,-87.7149270141,1(773)534-1620,7,SOUTH LAWNDALE,22,Ricardo Munoz
POINT (-87.60743532128883 41.72848063790991),BURNSIDE,609827,Network 12,650 E 91ST PL,60619,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7284806387,-87.6074353213,1(773)535-3300,12,CHATHAM,8,Michelle A. Harris
POINT (-87.66866060377357 41.912357907271925),BURR,609828,Network 6,1621 W WABANSIA AVE,60622,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9123579081,-87.6686606038,1(773)534-4090,6,WEST TOWN,32,Scott Waguespack
POINT (-87.69245662922816 41.82886790652319),BURROUGHS,609829,Network 8,3542 S WASHTENAW AVE,60632,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8288679073,-87.6924566292,1(773)535-7226,8,BRIGHTON PARK,12,George A. Cardenas
POINT (-87.76560565853956 41.89766257161412),BRUNSON,609830,Network 3,932 N CENTRAL AVE,60651,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8976625724,-87.7656056585,1(773)534-6025,3,AUSTIN,29,Chris Taliaferro
POINT (-87.7915444826982 41.79503096443681),BYRNE,609832,Network 10,5329 S OAK PARK AVE,60638,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7950309652,-87.7915444827,1(773)535-2170,10,GARFIELD RIDGE,23,Michael R. Zalewski
POINT (-87.58072902767272 41.73922635448458),CALDWELL,609833,Network 12,8546 S CREGIER AVE,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7392263553,-87.5807290277,1(773)535-6300,12,AVALON PARK,8,Michelle A. Harris
POINT (-87.71731895269359 41.84369811757608),LITTLE VILLAGE,609834,Network 7,2620 S LAWNDALE AVE,60623,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8436981184,-87.7173189527,1(773)534-1880,7,SOUTH LAWNDALE,22,Ricardo Munoz
POINT (-87.71792663520327 41.90379211711643),CAMERON,609835,Network 5,1234 N MONTICELLO AVE,60651,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9037921179,-87.7179266352,1(773)534-4290,5,HUMBOLDT PARK,26,Roberto Maldonado
POINT (-87.8292957010156 41.948007027273874),CANTY,609836,Network 1,3740 N PANAMA AVE,60634,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9480070281,-87.829295701,1(773)534-1238,1,DUNNING,38,Timothy M. Cullerton
POINT (-87.59079500925881 41.78336832270084),CARNEGIE,609837,ISP,1414 E 61ST PL,60637,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7833683235,-87.5907950092,1(773)535-0530,9,WOODLAWN,20,Willie B. Cochran
POINT (-87.69601207513412 41.742516625773),CARROLL,609839,Network 10,2929 W 83RD ST,60652,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7425166266,-87.6960120751,1(773)535-9414,10,ASHBURN,18,Lona Lane
POINT (-87.68779954321866 41.79327214337314),CARSON,609842,ISP,5516 S MAPLEWOOD AVE,60629,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7932721442,-87.6877995432,1(773)535-9222,8,GAGE PARK,15,Toni L. Foulkes
POINT (-87.62245275191152 41.78982790446188),CARTER,609844,AUSL,5740 S MICHIGAN AVE,60637,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7898279053,-87.6224527519,1(773)535-0860,9,WASHINGTON PARK,20,Willie B. Cochran
POINT (-87.59951563220227 41.65370211546621),CARVER G,609845,Network 13,901 E 133RD PL,60827,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6537021162,-87.5995156322,1(773)535-5674,13,RIVERDALE,9,Anthony A. Beale
POINT (-87.60647384691308 41.65740496962151),ALDRIDGE,609848,Network 13,630 E 131ST ST,60827,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6574049704,-87.6064738469,1(773)535-5614,13,RIVERDALE,9,Anthony A. Beale
POINT (-87.70321548828544 41.6873470545929),CASSELL,609849,Network 10,11314 S SPAULDING AVE,60655,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6873470554,-87.7032154883,1(773)535-2640,10,MOUNT GREENWOOD,19,Matthew J. O'Shea
POINT (-87.65097986936915 41.952809511187816),GREELEY,609850,Network 4,832 W SHERIDAN RD,60613,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.952809512,-87.6509798694,1(773)534-5800,4,LAKE VIEW,46,James Cappleman
POINT (-87.6952593685406 41.866435251350666),CHALMERS,609851,AUSL,2745 W ROOSEVELT RD,60608,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8664352522,-87.6952593685,1(773)534-1720,5,NORTH LAWNDALE,28,Jason C. Ervin
POINT (-87.68326359190789 41.97589429991424),CHAPPELL,609852,Network 2,2135 W FOSTER AVE,60625,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9758943007,-87.6832635919,1(773)534-2390,2,LINCOLN SQUARE,40,Patrick O'Connor
POINT (-87.69456225149781 41.91799265283444),CHASE,609853,Network 4,2021 N POINT ST,60647,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9179926537,-87.6945622515,1(773)534-4185,4,LOGAN SQUARE,1,Proco (Joe) Moreno III
POINT (-87.68893676245328 41.89671268815487),CHOPIN,609854,Network 5,2450 W RICE ST,60622,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.896712689,-87.6889367624,1(773)534-4080,5,WEST TOWN,26,Roberto Maldonado
POINT (-87.68560700306816 41.80165862417512),CHRISTOPHER,609855,Network 8,5042 S ARTESIAN AVE,60632,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.801658625,-87.6856070031,1(773)535-9375,8,GAGE PARK,14,Edward M. Burke
POINT (-87.54461359769068 41.654558148396525),CLAY,609856,Network 13,13231 S BURLEY AVE,60633,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6545581492,-87.5446135977,1(773)535-5600,13,HEGEWISCH,10,Susie Sadlowski Garza
POINT (-87.70644252546367 41.95204212082533),CLEVELAND,609857,Network 1,3121 W BYRON ST,60618,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9520421217,-87.7064425255,1(773)534-5130,1,IRVING PARK,33,Deborah Mell
POINT (-87.69835995432015 41.99254135950569),CLINTON,609859,ISP,6110 N FAIRFIELD AVE,60659,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9925413603,-87.6983599543,1(773)534-2025,2,WEST RIDGE,40,Patrick O'Connor
POINT (-87.6808967872205 41.693026005644974),CLISSOLD,609861,Network 10,2350 W 110TH PL,60643,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.6930260064,-87.6808967872,1(773)535-2560,10,MORGAN PARK,19,Matthew J. O'Shea
POINT (-87.56596977182141 41.74141280641801),COLES,609862,Network 12,8441 S YATES BLVD,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7414128072,-87.5659697718,1(773)535-6550,12,SOUTH CHICAGO,7,Gregory Mitchell
POINT (-87.681938049323 41.89956577485199),COLUMBUS,609863,Network 5,1003 N LEAVITT ST,60622,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8995657757,-87.6819380493,1(773)534-4350,5,WEST TOWN,2,Bob Fioretti
POINT (-87.65977458980146 41.74523702141981),COOK,609864,Network 11,8150 S BISHOP ST,60620,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7452370222,-87.6597745898,1(773)535-3315,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
POINT (-87.67776251685315 42.01708759096721),JORDAN,609865,Network 2,7414 N WOLCOTT AVE,60626,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",42.0170875918,-87.6777625168,1(773)534-2220,2,ROGERS PARK,49,Joe A. Moore
POINT (-87.68376530076175 41.95555319469823),COONLEY,609866,Network 2,4046 N LEAVITT ST,60618,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9555531955,-87.6837653008,1(773)534-5140,2,NORTH CENTER,47,Ameya Pawar
POINT (-87.66722708445998 41.85603119195194),COOPER,609867,Network 7,1624 W 19TH ST,60608,District,ES,"PK, K, 1, 2, 3, 4, 5",41.8560311928,-87.6672270845,1(773)534-7205,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.65716920537632 41.78468086054669),LANGFORD,609869,Network 11,6010 S THROOP ST,60636,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7846808613,-87.6571692054,1(773)535-9180,11,WEST ENGLEWOOD,16,JoAnn Thompson
POINT (-87.73119286568263 41.84560242144964),CORKERY,609870,Network 7,2510 S KILDARE AVE,60623,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8456024223,-87.7311928657,1(773)534-1650,7,SOUTH LAWNDALE,22,Ricardo Munoz
POINT (-87.6856765978834 41.688190837411916),VICK,609871,Network 10,2554 W 113TH ST,60655,District,ES,PK,41.6881908382,-87.6856765979,1(773)535-2671,10,MORGAN PARK,19,Matthew J. O'Shea
POINT (-87.65798012769622 41.85602872248889),PEREZ,609872,Network 7,1241 W 19TH ST,60608,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8560287233,-87.6579801277,1(773)534-7650,7,LOWER WEST SIDE,25,Daniel S. Solis
POINT (-87.71247015061276 41.85266348767926),CROWN,609873,Network 5,2128 S SAINT LOUIS AVE,60623,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8526634885,-87.7124701506,1(773)534-1680,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.84104144264982 41.973714776786956),DIRKSEN,609874,Network 1,8601 W FOSTER AVE,60656,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9737147776,-87.8410414426,1(773)534-1090,1,OHARE,41,Mary O'Connor
POINT (-87.70541291384822 41.923322716802375),DARWIN,609875,Network 4,3116 W BELDEN AVE,60647,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9233227176,-87.7054129138,1(773)534-4110,4,LOGAN SQUARE,32,Scott Waguespack
POINT (-87.70020216026171 41.82185161377397),DAVIS N,609876,Network 8,3014 W 39TH PL,60632,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8218516146,-87.7002021603,1(773)535-4540,8,BRIGHTON PARK,12,George A. Cardenas
POINT (-87.71735342363266 41.74507775134669),DAWES,609879,Network 10,3810 W 81ST PL,60652,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7450777521,-87.7173534236,1(773)535-2350,10,ASHBURN,18,Lona Lane
POINT (-87.7046185932244 42.00928855699754),DECATUR,609880,Network 2,7030 N SACRAMENTO AVE,60645,District,ES,"K, 1, 2, 3, 4, 5, 6",42.0092885578,-87.7046185932,1(773)534-2201,2,WEST RIDGE,50,Debra L. Silverstein
POINT (-87.62334458926513 41.76249026346902),DENEEN,609883,AUSL,7240 S WABASH AVE,60619,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7624902643,-87.6233445893,1(773)535-3035,12,GREATER GRAND CROSSING,6,Roderick T. Sawyer
POINT (-87.81313152528315 41.94255166950198),DEVER,609884,Network 1,3436 N OSCEOLA AVE,60634,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9425516703,-87.8131315253,1(773)534-3090,1,DUNNING,38,Timothy M. Cullerton
POINT (-87.6426515784289 41.79564568303255),DEWEY,609885,AUSL,5415 S UNION AVE,60609,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7956456838,-87.6426515784,1(773)535-1666,11,NEW CITY,20,Willie B. Cochran
POINT (-87.6099788745453 41.74366924135812),DIXON,609887,Network 12,8306 S SAINT LAWRENCE AVE,60619,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7436692421,-87.6099788745,1(773)535-3834,12,CHATHAM,6,Roderick T. Sawyer
POINT (-87.61227454299049 41.83112062833841),DOOLITTLE,609891,Network 9,535 E 35TH ST,60616,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8311206291,-87.612274543,1(773)535-1040,9,DOUGLAS,4,"William ""Will"" D. Burns"
POINT (-87.78760442131032 41.78095446341107),DORE,609893,ISP,6108 S NATOMA AVE,60638,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7809544642,-87.7876044213,1(773)535-2080,10,CLEARING,13,Marty Quinn
POINT (-87.6285534465876 41.84404331209266),DRAKE,609894,Network 9,2710 S DEARBORN ST,60616,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8440433129,-87.6285534466,1(773)534-9129,9,DOUGLAS,3,Patricia R. Dowell
POINT (-87.63016447885606 41.725609215693005),TURNER-DREW,609895,Network 11,9300 S PRINCETON AVE,60620,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7256092165,-87.6301644788,1(773)535-5720,11,ROSELAND,21,"Howard B. Brookins, Jr."
POINT (-87.67449459893486 41.915913801094945),DRUMMOND,609896,Network 6,1845 W CORTLAND ST,60622,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9159138019,-87.6744945989,1(773)534-4120,6,LOGAN SQUARE,32,Scott Waguespack
POINT (-87.67554666012475 41.78122517253027),EARLE,609897,Network 11,2040 W 62ND ST,60636,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7812251733,-87.6755466601,1(773)535-9130,11,WEST ENGLEWOOD,16,JoAnn Thompson
POINT (-87.70795263348174 41.774420451594345),EBERHART,609898,Network 10,3400 W 65TH PL,60629,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7744204524,-87.7079526335,1(773)535-9190,10,CHICAGO LAWN,23,Michael R. Zalewski
POINT (-87.81116978485632 42.004407921137776),EBINGER,609899,ISP,7350 W PRATT AVE,60631,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",42.004407922,-87.8111697848,1(773)534-1070,1,EDISON PARK,41,Mary O'Connor
POINT (-87.6216526075813 41.68541839968939),CURTIS,609900,AUSL,32 E 115TH ST,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6854184005,-87.6216526076,1(773)535-5050,13,ROSELAND,9,Anthony A. Beale
POINT (-87.7618404744351 41.99943683277353),EDGEBROOK,609901,ISP,6525 N HIAWATHA AVE,60646,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9994368336,-87.7618404744,1(773)534-1194,1,FOREST GLEN,41,Mary O'Connor
POINT (-87.63430552125133 41.669444022412314),METCALFE,609902,Network 13,12339 S NORMAL AVE,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6694440232,-87.6343055212,1(773)535-5590,13,WEST PULLMAN,34,Carrie M. Austin
POINT (-87.72585617790203 41.805541539105775),EDWARDS,609903,ISP,4815 S KARLOV AVE,60632,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8055415399,-87.7258561779,1(773)535-4875,8,ARCHER HEIGHTS,14,Edward M. Burke
POINT (-87.76658937771538 41.88552957975924),ELLINGTON,609904,Network 3,243 N PARKSIDE AVE,60644,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8855295806,-87.7665893777,1(773)534-6361,3,AUSTIN,29,Chris Taliaferro
POINT (-87.7158044315032 41.87574412263659),ERICSON,609907,Network 5,3600 W 5TH AVE,60624,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8757441235,-87.7158044315,1(773)534-6660,5,EAST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.66915866999116 41.68941960556063),ESMOND,609908,Network 10,1865 W MONTVALE AVE,60643,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6894196063,-87.66915867,1(773)535-2650,10,MORGAN PARK,19,Matthew J. O'Shea
POINT (-87.68131030372447 41.83155516065107),EVERETT,609909,Network 8,3419 S BELL AVE,60608,District,ES,"PK, K, 1, 2, 3, 4, 5",41.8315551615,-87.6813103037,1(773)535-4550,8,MCKINLEY PARK,12,George A. Cardenas
POINT (-87.74933062514465 41.93578457297129),FALCONER,609910,Network 3,3020 N LAMON AVE,60641,District,ES,"PK, K, 1, 2, 3, 4, 5, 6",41.9357845738,-87.7493306251,1(773)534-3560,3,BELMONT CRAGIN,31,Ray Suarez
POINT (-87.7660716581908 41.979790054887566),FARNSWORTH,609912,Network 1,5414 N LINDER AVE,60630,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9797900557,-87.7660716582,1(773)534-3535,1,JEFFERSON PARK,45,John Arena
POINT (-87.64041364558067 41.71118362225583),FERNWOOD,609917,Network 13,10041 S UNION AVE,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.711183623,-87.6404136456,1(773)535-2700,13,WASHINGTON HEIGHTS,34,Carrie M. Austin
POINT (-87.66998540067715 42.00966385468162),FIELD,609918,Network 2,7019 N ASHLAND AVE,60626,District,ES,"5, 6, 7, 8",42.0096638555,-87.6699854007,1(773)534-2030,2,ROGERS PARK,49,Joe A. Moore
POINT (-87.60863289647321 41.78518281585605),FISKE,609919,Network 9,6020 S LANGLEY AVE,60637,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7851828167,-87.6086328965,1(773)535-0990,9,WOODLAWN,20,Willie B. Cochran
POINT (-87.70511207710514 41.85077148359955),KANOON,609920,Network 7,2233 S KEDZIE AVE,60623,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8507714844,-87.7051120771,1(773)534-1736,7,SOUTH LAWNDALE,12,George A. Cardenas
POINT (-87.69600587942459 41.847947431747436),TELPOCHCALLI,609921,Network 7,2832 W 24TH BLVD,60623,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8479474326,-87.6960058794,1(773)534-1402,7,SOUTH LAWNDALE,12,George A. Cardenas
POINT (-87.75684290297947 41.92015004630977),BELMONT-CRAGIN,609922,Network 3,5252 W PALMER ST,60639,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9201500471,-87.756842903,1(773)534-2900,3,BELMONT CRAGIN,36,Nicholas Sposato
POINT (-87.65548116090856 41.72967267412901),FORT DEARBORN,609924,Network 11,9025 S THROOP ST,60620,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7296726749,-87.6554811609,1(773)535-2680,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
POINT (-87.70216290437963 41.87016771714874),KELLMAN,609925,Network 5,3030 W ARTHINGTON ST,60612,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.870167718,-87.7021629044,1(773)534-6602,5,EAST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.63551281031579 41.90659998946294),FRANKLIN,609926,Network 4,225 W EVERGREEN AVE,60610,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9065999903,-87.6355128103,1(773)534-8510,4,NEAR NORTH SIDE,27,"Walter Burnett, Jr."
POINT (-87.66809931234333 41.73842547724147),FOSTER PARK,609927,Network 11,8530 S WOOD ST,60620,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.738425478,-87.6680993123,1(773)535-2725,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
POINT (-87.61178404265375 41.81800340293327),FULLER,609928,AUSL,4214 S ST LAWRENCE AVE,60653,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8180034037,-87.6117840426,1(773)535-1687,9,GRAND BOULEVARD,4,"William ""Will"" D. Burns"
POINT (-87.66843588180264 41.797580270019274),FULTON,609929,Network 11,5300 S HERMITAGE AVE,60609,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7975802708,-87.6684358818,1(773)535-9000,11,NEW CITY,16,JoAnn Thompson
POINT (-87.71689166480509 41.91761651373583),FUNSTON,609930,Network 4,2010 N CENTRAL PARK AVE,60647,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9176165146,-87.7168916648,1(773)534-4125,4,LOGAN SQUARE,26,Roberto Maldonado
POINT (-87.67193897621 42.02109055717383),GALE,609933,Network 2,1631 W JONQUIL TER,60626,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",42.021090558,-87.6719389762,1(773)534-2100,2,ROGERS PARK,49,Joe A. Moore
POINT (-87.53517530585388 41.70680099884353),GALLISTEL,609935,Network 13,10347 S EWING AVE,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7068009996,-87.5351753058,1(773)535-6540,13,EAST SIDE,10,Susie Sadlowski Garza
POINT (-87.79623511407263 41.976351663260274),GARVY,609937,Network 1,5225 N OAK PARK AVE,60656,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9763516641,-87.7962351141,1(773)534-1185,1,NORWOOD PARK,41,Mary O'Connor
POINT (-87.71869663582645 41.83706515120611),GARY,609938,Network 7,3740 W 31ST ST,60623,District,ES,"PK, 3, 4, 5, 6, 7, 8",41.837065152,-87.7186966358,1(773)534-1455,7,SOUTH LAWNDALE,22,Ricardo Munoz
POINT (-87.62371943750111 41.72533227855046),GILLESPIE,609939,Network 12,9301 S STATE ST,60619,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7253322793,-87.6237194375,1(773)535-5065,12,ROSELAND,9,Anthony A. Beale
POINT (-87.67596551356017 41.76061412672374),RANDOLPH,609941,Network 11,7316 S HOYNE AVE,60636,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.7606141275,-87.6759655136,1(773)535-9015,11,WEST ENGLEWOOD,17,Latasha R. Thomas
POINT (-87.69289969583106 41.9228310066053),GOETHE,609942,Network 4,2236 N ROCKWELL ST,60647,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9228310074,-87.6928996958,1(773)534-4135,4,LOGAN SQUARE,1,Proco (Joe) Moreno III
POINT (-87.6225456606333 41.670617539510694),OWENS,609943,Network 13,12302 S STATE ST,60628,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6706175403,-87.6225456606,1(773)535-5475,13,WEST PULLMAN,9,Anthony A. Beale
POINT (-87.55330671029182 41.66248099818303),GRISSOM,609944,ISP,12810 S ESCANABA AVE,60633,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.662480999,-87.5533067103,1(773)535-5380,13,HEGEWISCH,10,Susie Sadlowski Garza
POINT (-87.65791249240219 41.975816529586815),GOUDY,609945,Network 2,5120 N WINTHROP AVE,60640,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9758165304,-87.6579124924,1(773)534-2480,2,UPTOWN,48,Harry Osterman
POINT (-87.64334423562201 41.813303728919124),GRAHAM ES,609947,Network 6,4436 S UNION AVE,60609,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.8133037297,-87.6433442356,1(773)535-1308,6,NEW CITY,11,James A. Balcer
POINT (-87.75711559859316 41.948763578738756),GRAY,609949,Network 1,3730 N LARAMIE AVE,60641,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9487635796,-87.7571155986,1(773)534-3520,1,PORTAGE PARK,45,John Arena
